sort,name,description,logo,url,color,backgroundMedia,mediaType
,Claude,,,,,,
,SUNO,,,https://suno.com/invite/@drewfroehlich,,,
,ElevenLabs,,,https://try.elevenlabs.io/5nlkb0r3t02z,,,
,SuperGrok,,,,,,
,Canva,,,,,,
,Adobe Photoshop,,,,,,
,Perplexity,,,https://pplx.ai/drewfroehl30925,,,
,ChatLLM,,,https://chatllm.abacus.ai/RhLptmHbkJ,,,
,Openart,,,,,,
,Seedance,,,,,,
,ChatGPT,,,,,,
,Adobe Firefly,,,,,,
,Leonardo,,,,,,
,Openai,,,,,,
,LemonSlice,,,,,,
,Perplexity,,,,,,
,CapCut,,,,,,
,Fal.ai,,,,,,
,Seedance,,,,,,
,Pollo.ai,,,,,,
,Gumroad,,,,,,
,Google AI Studio,,,,,,
,Luma Pro,,,,,,
,Hailou.ai,,,,,,
,Kling.ai,,,,,,
